"Id","Experiment","Sex","Drug","Genotype","Trial","Outcome"
115,3,"F","Saline","KI",1,0.109
115,3,"F","Saline","KI",2,0.096
115,3,"F","Saline","KI",3,0.103
115,3,"F","Saline","KI",4,0.087
116,3,"F","Saline","KI",1,0.074
116,3,"F","Saline","KI",2,0.051
116,3,"F","Saline","KI",3,0.035
116,3,"F","Saline","KI",4,0.048
117,3,"F","Saline","KI",1,0.172
117,3,"F","Saline","KI",2,0.133
117,3,"F","Saline","KI",3,0.118
117,3,"F","Saline","KI",4,0.13
118,3,"F","Saline","KI",1,0.195
118,3,"F","Saline","KI",2,0.163
118,3,"F","Saline","KI",3,0.151
118,3,"F","Saline","KI",4,0.14
108,1,"F","SKF","KI",1,0.179
108,1,"F","SKF","KI",2,0.095
108,1,"F","SKF","KI",3,0.062
108,1,"F","SKF","KI",4,0.067
109,1,"F","SKF","KI",1,0.16
109,1,"F","SKF","KI",2,0.124
109,1,"F","SKF","KI",3,0.122
