"Id","Drug","Genotype","Sex","Experiment","Trial","Outcome"
107,"Saline","KI","M",1,3,15.6
107,"Saline","KI","M",1,4,52.7
101,"Saline","KI","M",2,1,60
101,"Saline","KI","M",2,2,60
101,"Saline","KI","M",2,3,60
101,"Saline","KI","M",2,4,60
102,"Saline","KI","M",2,1,57
102,"Saline","KI","M",2,2,24.6
102,"Saline","KI","M",2,3,9.9
102,"Saline","KI","M",2,4,9.6
103,"Saline","KI","M",2,1,60
103,"Saline","KI","M",2,2,60
103,"Saline","KI","M",2,3,55.7
103,"Saline","KI","M",2,4,60
104,"Saline","KI","M",2,1,53.4
104,"Saline","KI","M",2,2,42.5
104,"Saline","KI","M",2,3,60
104,"Saline","KI","M",2,4,60
105,"Saline","KI","M",2,1,5.7
105,"Saline","KI","M",2,2,4
105,"Saline","KI","M",2,3,33.4
105,"Saline","KI","M",2,4,3.4
106,"Saline","KI","M",2,1,14.5
106,"Saline","KI","M",2,2,59.9
106,"Saline","KI","M",2,3,51.3
106,"Saline","KI","M",2,4,20.3
107,"Saline","KI","M",2,1,32
107,"Saline","KI","M",2,2,60
107,"Saline","KI","M",2,3,13.6
107,"Saline","KI","M",2,4,31.5
101,"Saline","KI","M",3,1,60
101,"Saline","KI","M",3,2,60
101,"Saline","KI","M",3,3,60
101,"Saline","KI","M",3,4,60
102,"Saline","KI","M",3,1,32.2
102,"Saline","KI","M",3,2,2.1
102,"Saline","KI","M",3,3,1.2
102,"Saline","KI","M",3,4,1.7
103,"Saline","KI","M",3,1,12.4
103,"Saline","KI","M",3,2,60
103,"Saline","KI","M",3,3,60
103,"Saline","KI","M",3,4,20.3
104,"Saline","KI","M",3,1,13.3
104,"Saline","KI","M",3,2,3.7
104,"Saline","KI","M",3,3,23.8
104,"Saline","KI","M",3,4,19.9
105,"Saline","KI","M",3,1,30.7
105,"Saline","KI","M",3,2,59.2
105,"Saline","KI","M",3,3,21.2
105,"Saline","KI","M",3,4,3.7
106,"Saline","KI","M",3,1,29.2
106,"Saline","KI","M",3,2,4.7
106,"Saline","KI","M",3,3,60
106,"Saline","KI","M",3,4,20.7
107,"Saline","KI","M",3,1,60
107,"Saline","KI","M",3,2,60
107,"Saline","KI","M",3,3,28.9
